ID,Name_of_Institute,P_or_G,City,Location,Acadmics,Fees,Infrastructure,Placement,Total,Branch
407,IIT Madras,G,Chennai,208,193.1,156,196.6,159,912.8,ENTC
408,IIT,G,Kanpur,208,196.4,154,191,161.5,910.9,ENTC
409,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,ENTC
410,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,ENTC
411,NIT Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,ENTC
412,NIT Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,ENTC
413,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,ENTC
414,College Of Engineering_ Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,ENTC
415,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,ENTC
416,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,ENTC
417,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,ENTC
418,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,ENTC
419,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,ENTC
420,IIIT,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,ENTC
421,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,ENTC
422,VIT University,P,Vellore,137,143.8,147,152,131,710.8,ENTC
423,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,ENTC
424,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,ENTC
425,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,ENTC
426,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,ENTC
427,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,ENTC
428,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,ENTC
429,BIT Sindri,G,Dhanbad,169,136.6,105.3,147.7,107.4,666,ENTC
430,NIT*,G,Durgapur,162,163.7,106,126.3,102.9,660.9,ENTC
431,SGS Inst Of Tech & Science,G,Indore,145.9,136.5,104.4,157.5,112.6,656.8,ENTC
432,Institute Of Technology_ Nirma Universtiy,P,Ahmedabad,143.7,138.9,108.9,138.1,100.5,630,ENTC
433,University College Of Engineering,G,Hyderabad,112,129.6,113.5,152.5,120.7,628.4,ENTC
434,Chaitanya Bharathi Institute Of Technology,P,Hyderabad,123,118,118,155.8,104.5,619.2,ENTC
435,DJ Sanghvi College Of Engineering,P,Mumbai,115,125.7,105.6,123.3,127.2,596.8,ENTC
436,NMIMS,P,Mumbai,117,128.8,124.3,122.7,103.5,596.3,ENTC
437,SRM Engineering College,P,Chennai,117,118.8,121.1,127.4,111.6,595.9,ENTC
438,Guru Nanak Dev Engineering College,G,Ludhiana,130,113.8,121.2,138.8,91,594.9,ENTC
439,Govt Model Engineering College,G,Kochi,124.3,116.7,121.8,125.1,106.7,594.6,ENTC
440,Govt College Of Engineering,G,Amravati,127.6,103.1,113.9,145.2,104.7,594.4,ENTC
441,Thiagarajar College Of Engineering,P,Madurai,131.6,119.3,112.1,127.9,102.7,593.6,ENTC
442,MIT College Of Engineering,P,Pune,117.1,116,104.7,134.7,113.5,586,ENTC
443,Bannari Amman Institute Of Technology,P,Erode,120,129.8,120.3,150.6,63.8,584.5,ENTC
444,BVU College Of Engineering,P,Pune,106,130.8,82.4,145.7,117.4,582.3,ENTC
445,Kongu Engineering College,P,Erode,104.1,123.7,118.3,138.9,91.1,576.1,ENTC
446,Rungta College Of Engineering,P,Bhilai,122,129.2,100.4,133.5,91.1,576.1,ENTC
447,BMS Institute Of Technology & Management,P,Bangalore,128.3,120.2,95.1,142.3,89.4,575.2,ENTC
448,PES University,P,Bangalore,122,112.8,108.1,133.4,96.6,572.9,ENTC
449,BMS College Of Engineering,P,Bangalore,124.2,124.8,89.1,130.5,103.8,572.4,ENTC
450,KLE Dr MS Sheshgiri College Of Engg,P,Belgaum,121.7,116.7,86,153.8,89.2,567.4,ENTC
451,JNNCE,P,Shimoga,127.1,127,81.8,148.7,81.8,566.4,ENTC
452,Symbiosis Institute Of Technology,P,Pune,120.3,131.2,90.1,127.3,97.3,566.2,ENTC
453,School Of Engineering & Technology_ Sharda University,P,Noida,127,128,106,107.9,96.8,565.7,ENTC
454,K L University,P,Guntur,116,129.4,105.5,140.8,73.3,564.9,ENTC
455,Faculty Of Engineering_ DIT University,P,Dehradun,117,119.7,92.3,135,100.9,564.8,ENTC
456,Walchand College Of Engineering,P,Sangli,111.7,127.9,99.7,134.5,90.9,564.6,ENTC
457,Galgotias College Of Engineering And Technology,P,Noida,126.2,110.6,97.3,133.2,96.1,563.4,ENTC
458,Sri Sairam Engineering College,P,Chennai,114.4,129.1,91,138.5,89.6,562.5,ENTC
459,Sri Jayachamarajendra College Of Engineering,G,Mysore,102,123.9,99,134.9,102.2,561.9,ENTC
460,Sanjivani College Of Engineering,P,Ahmednagar,116,124.3,107.1,136.1,77.8,561.4,ENTC
461,Cummins College of Engineering for Women,P,Pune,122,126.4,90.1,124.8,96.4,559.6,ENTC
462,Shri Ramdeobaba College Of Engg,P,Nagpur,115.4,123.9,101,129.8,89,559.1,ENTC
463,SDM College Of Engineering,P,Dharwad,129,128.7,106.7,110.6,83.8,558.7,ENTC
464,Sir M Visvesvaraya Institute Of Technology,P,Bangalore,123.5,104.6,103.6,125.8,101.1,558.5,ENTC
465,MVJ College Of Engineering,P,Bangalore,122.5,111.8,80.3,156,87.7,558.3,ENTC
466,Army Institute Of Technology,P,Pune,107,111.6,98.3,140.7,100.3,557.8,ENTC
467,Rajagiri School Of Engineering & Technology,P,Ernakulam,115,113,103.3,135.9,89.7,556.8,ENTC
468,The Northcap University,P,Gurgaon,110.9,132.6,77.6,129.9,105.5,556.6,ENTC
469,Muffakham Jah College Of Engineering And Technology,P,Hyderabad,117.9,121.1,96.9,128.3,92.3,556.4,ENTC
470,National Institute Of Science & Technology,P,Berhampur,110.9,121.2,92.8,140,91.2,556.1,ENTC
471,Indraprastha Institute Of IT,G,Delhi,109,114.7,96.9,149.2,85.6,555.5,ENTC
472,SCMS School Of Engineering,P,Ernakulam,105.9,116.4,92.2,137.3,103.6,555.4,ENTC
473,Lakshmi Narain College Of Technology,P,Bhopal,104,148.9,91,140.2,70.5,554.6,ENTC
474,Sikkim Manipal Institute Of Technology,P,Sikkim,112.9,107.4,94.7,138.7,100.9,554.6,ENTC
475,JSS Academy Of Technical Education,P,Bangalore,122,117.4,95,128.4,91.2,553.9,ENTC
476,Amity School Of Engineering & Technology,P,Noida,115.6,109.4,95.7,123.4,108,552,ENTC
477,Maharashtra Institute Of Technology,P,Aurangabad,120,107.3,98.6,131,94.9,551.8,ENTC
478,DY Patil College of Engineering,P,Akrudi,121,109.7,107.5,107.3,106.3,551.8,ENTC
479,IMS Engineering College,P,Ghaziabad,110,111.6,102.8,125.2,101.3,551,ENTC
480,JIS College Of Engineering,P,Bengal,126.1,126.4,79.7,100.5,115.8,548.4,ENTC
481,SS College of Engineering,P,Bangalore,110,109.1,100.3,133.7,95.2,548.3,ENTC
482,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,ENTC
483,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,ENTC
484,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,ENTC
485,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,ENTC
486,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,ENTC
487,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,ENTC
488,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,ENTC
489,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,ENTC
490,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,ENTC
491,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,ENTC
492,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,ENTC
493,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,ENTC
494,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,ENTC
495,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,ENTC
496,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,ENTC
497,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,ENTC
498,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,ENTC
499,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,ENTC
500,Vishwakarma Institute of Technology,P,Pune,105,100.1,103.4,108.7,95.5,512.6,ENTC
501,Institute Of Engg & Tech_ J.K.Lakshmipat Univ,P,Jaipur,80,117.1,112.1,146.1,56.8,512,ENTC
502,Shri Shankaracharya Technical Campus,P,Bhilai,97.5,109.8,86,126,92.7,511.9,ENTC
503,Madhav Institute of Technology & Science,G,Gwalior,110.3,100.9,107,136.9,56.6,511.6,ENTC
504,Sathyabama University,P,Chennai,99.8,106.3,119,126.7,58.1,509.8,ENTC
505,IIT,G,Delhi,212,196.1,163,193.7,174,938.8,ELE
506,IIT Bombay,G,Mumbai,210,188.1,160,199.6,161.7,919.3,ELE
507,IIT,G,Kharagpur,214,192.2,157,196.5,159.3,919,ELE
508,IIT Madras,G,Chennai,208,193.1,156,196.6,159,912.8,ELE
509,IIT,G,Kanpur,208,196.4,154,191,161.5,910.9,ELE
510,BITS,P,Pilani,184,181.6,156.6,184.6,165.7,872.4,ELE
511,IIT*,G,Guwahati,179.1,185.8,145.4,181.2,147.2,838.7,ELE
512,NIT Trichy*,G,Tiruchirapalli,182.1,171.5,148.2,160.3,142,804.1,ELE
513,NIT Surathkal,G,Mangalore,176.9,169.7,134.7,176.2,146.1,803.5,ELE
514,NIT*,G,Warangal,185,158.4,134.5,158.1,128.2,764.2,ELE
515,College Of Engineering_ Guindy,G,Chennai,207.8,162.5,132,131.9,126.6,760.8,ELE
516,NSIT*,G,Delhi,151,154.4,134.9,163.5,154.4,758.2,ELE
517,DTU,G,Delhi,145,163.6,132,140.4,153,733.9,ELE
518,College Of Engineering,G,Pune,164.9,150.3,130.4,148.5,139.4,733.6,ELE
519,IIIT,P,Hyderabad,149,153.8,129.8,155.3,143.8,731.6,ELE
520,PSG College Of Technology,P,Coimbatore,143.9,147.9,133.4,164.4,125.3,715,ELE
521,IIIT,G,Allahabad,147.5,152.9,117.6,155.1,139.5,712.6,ELE
522,MIT,P,Manipal,163,158.5,126.3,148.9,115,711.7,ELE
523,VIT University,P,Vellore,137,143.8,147,152,131,710.8,ELE
524,BIT,P,Ranchi,165,151.8,116.2,154.8,116.8,704.6,ELE
525,Indian School Of Mines,G,Dhanbad,159,178.8,135.7,112.5,116,702.1,ELE
526,University Institute Of Engg. Chandigarh Univ,P,Chandigarh,142,142.8,137.8,154.7,121.3,698.5,ELE
527,Thapar University,P,Patiala,142,148.4,130.7,147.5,118.9,687.5,ELE
528,VNIT,G,Nagpur,145,151.2,109.9,168.5,108.7,683.3,ELE
529,NIE,G,Mysore,142.4,144.9,125,147.9,107.6,667.7,ELE
530,BIT Sindri,G,Dhanbad,169,136.6,105.3,147.7,107.4,666,ELE
531,NIT*,G,Durgapur,162,163.7,106,126.3,102.9,660.9,ELE
532,SGS Inst Of Tech & Science,G,Indore,145.9,136.5,104.4,157.5,112.6,656.8,ELE
533,Institute Of Technology_ Nirma Universtiy,P,Ahmedabad,143.7,138.9,108.9,138.1,100.5,630,ELE
534,University College Of Engineering,G,Hyderabad,112,129.6,113.5,152.5,120.7,628.4,ELE
535,Chaitanya Bharathi Institute Of Technology,P,Hyderabad,123,118,118,155.8,104.5,619.2,ELE
536,DJ Sanghvi College Of Engineering,P,Mumbai,115,125.7,105.6,123.3,127.2,596.8,ELE
537,NMIMS,P,Mumbai,117,128.8,124.3,122.7,103.5,596.3,ELE
538,SRM Engineering College,P,Chennai,117,118.8,121.1,127.4,111.6,595.9,ELE
539,Guru Nanak Dev Engineering College,G,Ludhiana,130,113.8,121.2,138.8,91,594.9,ELE
540,Govt Model Engineering College,G,Kochi,124.3,116.7,121.8,125.1,106.7,594.6,ELE
541,Govt College Of Engineering,G,Amravati,127.6,103.1,113.9,145.2,104.7,594.4,ELE
542,Thiagarajar College Of Engineering,P,Madurai,131.6,119.3,112.1,127.9,102.7,593.6,ELE
543,MIT College Of Engineering,P,Pune,117.1,116,104.7,134.7,113.5,586,ELE
544,Bannari Amman Institute Of Technology,P,Erode,120,129.8,120.3,150.6,63.8,584.5,ELE
545,BVU College Of Engineering,P,Pune,106,130.8,82.4,145.7,117.4,582.3,ELE
546,Kongu Engineering College,P,Erode,104.1,123.7,118.3,138.9,91.1,576.1,ELE
547,Rungta College Of Engineering,P,Bhilai,122,129.2,100.4,133.5,91.1,576.1,ELE
548,BMS Institute Of Technology & Management,P,Bangalore,128.3,120.2,95.1,142.3,89.4,575.2,ELE
549,PES University,P,Bangalore,122,112.8,108.1,133.4,96.6,572.9,ELE
550,BMS College Of Engineering,P,Bangalore,124.2,124.8,89.1,130.5,103.8,572.4,ELE
551,KLE Dr MS Sheshgiri College Of Engg,P,Belgaum,121.7,116.7,86,153.8,89.2,567.4,ELE
552,JNNCE,P,Shimoga,127.1,127,81.8,148.7,81.8,566.4,ELE
553,Symbiosis Institute Of Technology,P,Pune,120.3,131.2,90.1,127.3,97.3,566.2,ELE
554,School Of Engineering & Technology Sharda University,P,Noida,127,128,106,107.9,96.8,565.7,ELE
555,K L University,P,Guntur,116,129.4,105.5,140.8,73.3,564.9,ELE
556,Faculty Of Engineering DIT University,P,Dehradun,117,119.7,92.3,135,100.9,564.8,ELE
557,Walchand College Of Engineering,P,Sangli,111.7,127.9,99.7,134.5,90.9,564.6,ELE
558,Galgotias College Of Engineering And Technology,P,Noida,126.2,110.6,97.3,133.2,96.1,563.4,ELE
559,Sri Sairam Engineering College,P,Chennai,114.4,129.1,91,138.5,89.6,562.5,ELE
560,Sri Jayachamarajendra College Of Engineering,G,Mysore,102,123.9,99,134.9,102.2,561.9,ELE
561,Sanjivani College Of Engineering,P,Ahmednagar,116,124.3,107.1,136.1,77.8,561.4,ELE
562,Cummins College of Engineering for Women,P,Pune,122,126.4,90.1,124.8,96.4,559.6,ELE
563,Shri Ramdeobaba College Of Engg,P,Nagpur,115.4,123.9,101,129.8,89,559.1,ELE
564,SDM College Of Engineering,P,Dharwad,129,128.7,106.7,110.6,83.8,558.7,ELE
565,Sir M Visvesvaraya Institute Of Technology,P,Bangalore,123.5,104.6,103.6,125.8,101.1,558.5,ELE
566,MVJ College Of Engineering,P,Bangalore,122.5,111.8,80.3,156,87.7,558.3,ELE
567,Army Institute Of Technology,P,Pune,107,111.6,98.3,140.7,100.3,557.8,ELE
568,Rajagiri School Of Engineering & Technology,P,Ernakulam,115,113,103.3,135.9,89.7,556.8,ELE
569,The Northcap University,P,Gurgaon,110.9,132.6,77.6,129.9,105.5,556.6,ELE
570,Muffakham Jah College Of Engineering And Technology,P,Hyderabad,117.9,121.1,96.9,128.3,92.3,556.4,ELE
571,National Institute Of Science & Technology,P,Berhampur,110.9,121.2,92.8,140,91.2,556.1,ELE
572,Indraprastha Institute Of IT,G,Delhi,109,114.7,96.9,149.2,85.6,555.5,ELE
573,SCMS School Of Engineering,P,Ernakulam,105.9,116.4,92.2,137.3,103.6,555.4,ELE
574,Lakshmi Narain College Of Technology,P,Bhopal,104,148.9,91,140.2,70.5,554.6,ELE
575,Sikkim Manipal Institute Of Technology,P,Sikkim,112.9,107.4,94.7,138.7,100.9,554.6,ELE
576,JSS Academy Of Technical Education,P,Bangalore,122,117.4,95,128.4,91.2,553.9,ELE
577,Amity School Of Engineering & Technology,P,Noida,115.6,109.4,95.7,123.4,108,552,ELE
578,Maharashtra Institute Of Technology,P,Aurangabad,120,107.3,98.6,131,94.9,551.8,ELE
579,DY Patil College of Engineering,P,Akrudi,121,109.7,107.5,107.3,106.3,551.8,ELE
580,IMS Engineering College,P,Ghaziabad,110,111.6,102.8,125.2,101.3,551,ELE
581,JIS College Of Engineering,P,Bengal,126.1,126.4,79.7,100.5,115.8,548.4,ELE
582,SS College of Engineering,P,Bangalore,110,109.1,100.3,133.7,95.2,548.3,ELE
583,GL Bajaj Institute Of Technology & Management,P,Noida,105,109.4,96.6,133.2,104,548.1,ELE
584,Jaipur Engineering College And Research Center,P,Jaipur,105.5,107.7,112.8,119.1,102.7,547.8,ELE
585,J.B.Institute Of Technology,P,Dehradun,115.6,118.6,70,145.6,97.2,547,ELE
586,PES College Of Engineering,P,Mandya,111.8,104.7,105.7,146.1,78.7,546.9,ELE
587,SSN College Of Engineering,P,Kalavakkam,99,100.9,99.4,132.8,112.8,545,ELE
588,Kongu Engg. College,P,Erode,104,114.7,118.3,124.9,83.1,545,ELE
589,Sona College Of Technology,P,Salem,103,119.6,119.8,111.5,89.6,543.5,ELE
590,RMK Engineering College,P,Kavaripettai,114.2,103.2,97.2,125,99.5,539,ELE
591,S.A. Engineering College,P,Chennai,105.3,111.8,101.4,136.4,83.6,538.4,ELE
592,Asia Pacific Inst of Information Tech,P,Panipat,112.7,104.6,81.8,140.7,94.9,534.5,ELE
593,UIET,P,Chandigarh,110.1,121.9,104.9,136,58.9,531.8,ELE
594,Veltech High Tech Engineering College,P,Chennai,132.4,116.6,112.6,113.2,56.3,531.1,ELE
595,CVR College Of Engineering,P,Hyderabad,110.1,121.6,84.7,132.4,80.4,529.3,ELE
596,Kuppam Engineering College,P,Kuppam,107,102,83.2,146.6,90.3,529.1,ELE
597,KLS Gogte Institute Of Technology,P,Belagavi,85,119.2,84.6,130.8,95.1,514.7,ELE
598,Malla Reddy College of Engineering & Technology,P,Secunderabd,108.7,101.2,111.7,122.3,70.7,514.7,ELE
599,VI of Information Technology (BRACTS),P,Pune,119,101.8,86.8,111.6,95.1,514.2,ELE
600,IES College Of Technology,P,Bhopal,100,116.7,87.2,134.3,75.6,513.8,ELE
601,Vishwakarma Institute of Technology,P,Pune,105,100.1,103.4,108.7,95.5,512.6,ELE
602,Institute Of Engg & Tech_ J.K.Lakshmipat Univ,P,Jaipur,80,117.1,112.1,146.1,56.8,512,ELE
603,Shri Shankaracharya Technical Campus,P,Bhilai,97.5,109.8,86,126,92.7,511.9,ELE
604,Madhav Institute of Technology & Science,G,Gwalior,110.3,100.9,107,136.9,56.6,511.6,ELE
605,Sathyabama University,P,Chennai,99.8,106.3,119,126.7,58.1,509.8,ELE
606,Kongu Engineering College,P,Erode,104.1,123.7,118.3,138.9,91.1,576.1,CS
